,Close,High,Open,Low
0,228.64241475197073,233.10107344640608,229.7427273729598,226.2260511865792
1,226.94480745237288,231.38418804838398,227.26145352216423,224.05034787964013
2,227.1311688384198,230.89995857697014,226.69411018798525,224.016454744239
3,226.8162833109862,230.55981679501866,226.79380322171713,224.02964606361607
4,225.78330243955213,229.66234054937894,227.01504318289525,223.44410382192237
5,225.3277733136556,230.07401365485865,226.78701558777098,223.05798109900235
6,224.81999562122937,228.98673598415274,225.31818345434988,222.24364425027005
7,224.79503351181734,229.01787265637486,225.3769931554869,221.9295326311324
8,224.3699413598804,228.54965201599134,224.63704845094756,221.50310234982084
9,224.21633316961157,228.1098360282201,224.53614688322838,221.358156945177
10,223.5986222853777,227.71787154431607,224.3646599751953,221.25346333760626
11,223.29877315968096,227.45169357819975,223.93450308659413,220.61416653395864
12,223.00026793046078,227.26603761819263,223.58588325696124,220.18310518511367
13,222.75980702221398,226.87774216959383,223.21161593271012,219.93270863748947
14,222.46479373547112,226.68297183200428,222.91467241914418,219.6166359551943
15,222.1703763195373,226.3241261876237,222.61201250380375,219.33542713362039
16,221.94807093122878,226.13025412334824,222.5639184331909,219.2560180947571
17,221.7318401512345,225.91258421784457,222.25902285864478,219.00639365466355
18,221.48593453989156,225.66360715268362,221.9986321200474,218.67219519308995
19,221.19603141138532,225.35849291461304,221.7489476915616,218.455404372779
20,220.94838643612346,225.1082319985297,221.4307995589263,218.12321956287715
21,220.60652947015365,224.80085315394484,221.19389610179567,217.87100170705426
22,220.32687002749185,224.49611925512184,220.86530142857836,217.5721925121644
23,220.10837302730664,224.27899053497333,220.63049738422308,217.3443060882435
24,219.86217673598776,224.01830721147508,220.368067882346,217.0906566512906
25,219.6052715430097,223.7570496487428,220.13576946318943,216.85337070961788
26,219.38468315931874,223.52199245487196,219.8951449960852,216.62616633798825
27,219.11318370207485,223.26436390304048,219.65414992750686,216.36688888856452
